,2021,2020,2019,2018
Revenue,16138531000000,11810955000000,12177173000000,11275019000000
Net Income,+AC0-1602894000000,+AC0-8891100000000,+AC0-1983299000000,719977000000
Total Assets,52080936000000,51865480000000,55079585000000,49083460000000
Total Liabilities,29594927000000,32388001000000,20703246000000,24336392000000
Total Equity,22486009000000,23573655000000,34376339000000,24747068000000
Total Common Shares,70879000000.02,,,
PER,+AC0-1.92,,,
EPS,+AC0-22.65,,,
PBV,0.34,,,
Book Value Per Share,236,,,
Price,80,,,
