,year,company,pricejan2010,bvps2023,latitude,longitude,highpricetilldec2022,lowestpricetilldec2022,debtequityratio2023,per2023,revenue2021,netincome2021,equity2021,assets2021
0,2010,Adhi Karya,351,1604,-6.2,106.81,3129,385,187,64,11530471000000,55185000000,5599819000000,39900337000000
1,2010,Jasa Marga,1856,2963,-6.2,106.81,7083,1700,279,13,15169552000000,1615281000000,20605851000000,101242884000000
2,2010,Mayora Indah,148,525,-6.2,106.81,2970,148,56,46,27904558000000,1186598000000,11118707000000,19917653000000
3,2010,Indofood,3759,5890,-6.2,106.81,8825,3759,138,8,99345618000000,7642197000000,86632111000000,179356193000000
4,2010,Unilever Indonesia,2200,104,-6.94,107.69,10910,2200,32,30,39545959000000,5758148000000,4321269000000,19068532000000
5,2010,Bukit Asam,3660,2274,-3.66,103.77,4560,905,4,3,29261468000000,7909113000000,24059665000000,36123703000000
6,2010,United Tractors,17732,21255,-6.2,106.81,39200,13100,8,4,79460503000000,10279683000000,68559923000000,112561356000000
7,2010,Adaro Energy,1940,2850,-6.2,106.81,3430,449,28,2,59890800000000,14002350000000,66874800000000,113804100000000
8,2010,Barito Pacific,138,300,-6.2,106.81,1500,12,189,288,47334900000000,1636800000000,64006200000000,138623250000000
9,2010,XL Axiata,2218,1961,-6.2,106.81,7199,1800,0,26,26754050000000,1287807000000,20088745000000,72753282000000
10,2010,Kalbe Farma,272,418,-6.90,107.59,2110,272,5,31,26261194000000,3183621000000,21265877000000,25666635000000
11,2010,Semen Indonesia,7800,6257,-6.2,106.81,19000,6000,44,19,34957871000000,2021190000000,39782883000000,76504240000000
12,2010,AKR Corporindo,219,512,-6.2,106.81,1540,219,30,14,25707068000000,1111613000000,9345116000000,23508585000000
13,2010,Indosat,5450,3515,-6.2,106.81,7800,1375,0,11,31388311000000,6750873000000,9180455000000,63397148000000
14,2010,Charoen Pokphand,455,1600,-6.2,106.81,8150,455,34,22,51698249000000,3620961000000,25135288000000,35446051000000
15,2010,Indah Kiat Pulp & Paper,2150,14700,-6.2,106.81,19750,885,63,3,52748850000000,7906200000000,71373000000000,134676600000000
16,2010,Agung Podomoro,415,447,-6.2,106.81,510,84,82,1,4256245000000,-650359000000,7814003000000,29611111000000
17,2010,Asuransi Jasa Tania,160,218,-6.8948,107.6052,895,71,0.18,-438,119196000000,345000000,308453000000,527852000000
18,2010,Asuransi Jiwa Syariah,555,117,-6.2,106.81,1125,62,,9,53023000000,1283000000,115670000000,249050000000
19,2010,Bakrie & Brothers,930,67,-6.2,106.81,500,50,156,5,2383414000000,74293000000,1323017000000,15242769000000
20,2010,Bank Bukopin,322,154,-6.2,106.81,765,119,240,-1,4323455000000,-2282245000000,13205904000000,89215674000000
21,2010,Bank Panin Syariah,112,61,-6.2,106.81,335,57,0.41,-3,785951000000,-818112000000,2301944000000,14426004000000
22,2010,Bumi Resources  ,2900,,-6.2,106.81,3525,50,992,2,15120000000000,2520000000000,-7200000000000,63345000000000
23,2010,Bumi Resources Minerals,594,150,-6.2,106.81,682,43,8,22,150000000000,103500000000,-1590000000000,14700000000000
24,2010,Campina Ice Cream,955,156,-7.2504,112.7688,1185,168,,15,1019133000000,100066000000,1022814000000,1147260000000
25,2010,Chemstar Indonesia,154,93,-6.5386,107.4499,154,154,17,12,89623000000,12900000000,42100000000,90598000000
26,2010,Delta Dunia Makmur,1586,450,-6.2,106.81,1536,53,382,4,13650000000000,4200000000,3975000000000,24539400000000
27,2010,Dharma Satya Nusantara,374,715,-6.2,106.81,956,318,70,5,7124495000000,727153000000,6900337000000,13712160000000
28,2010,Energi Mega Persada,1469,300,-6.2,106.81,1900,50,33,6,6091500000000,603900000000,7830900000000,15953700000000
29,2010,Industri Perdagangan Bintraco Dharma,149,23,-6.9666,110.4166,273,50,822,19,5295162000000,-428631000000,4325269000000,242487000000
30,2010,Jaya Konstruksi Manggala Pratama,143,167,-6.2,106.81,1070,83,16,13,3480062000000,-38061000000,2612907000000,4145213000000
31,2010,Makmur Berkah Amanda,148,161,-6.2,106.81,835,148,14,69,100601000000,33524000000,616194000000,861888000000
32,2010,Mizuho Leasing Indonesia,81,120,-6.2,106.81,230,50,240,18,235337000000,-7765000000,625244000000,2323154000000
33,2010,Pakuwon Jati,120,356,-7.2504,112.7688,770,120,35,11,5713272000000,1382548000000,19178438000000,28866081000000
34,2010,PT PP Presisi,410,228,-6.2,106.81,412,111,110,11,2807235000000,76929000000,2245180000000,7029648000000
35,2010,Saranacentral Bajatama,285,84,-6.2,106.81,1665,55,254,-3,1374486000000,88527000000,214084000000,726173000000
36,2010,Soechi Lines,640,750,-6.2,106.81,735,71,67,16,1931400000000,81300000000,5511750000000,9438150000000
,2010,Bukit Sentul / Sentul City,92,161,-6.52113,106.85028,325,50,39,-21,910709000000,261472000000,9002372000000,16654989000000
,2010,Sky Energy,375,79,-6.52113,106.85028,1000,52,112,-1,148294000000,-72771000000,232183000000,495492000000
,2010,Ratu Prabu Energi,,-22,-6.2,106.81,,,-6,-2,6010000000,134674000000,-105014000000,643764000000
,2010,Bakrieland,2350,160,-6.2,106.81,2350,50,16,-27,784410000000,-201910000000,8147635000000,11681203000000
