,year,company,pricejan2010,pricemar2023,bvps2023,latitude,longitude,highpricetilldec2022,lowestpricetilldec2022,debtequityratio2023,per2023,revenue2021,netincome2021,equity2021,assets2021
0,2010,Agung Podomoro,415,145,447,-6.2,106.81,510,84,82,1,4256245000000,-650359000000,7814003000000,29611111000000
1,2010,Asuransi Jasa Tania,160,132,218,-6.8948,107.6052,895,71,0.18,-438,119196000000,345000000,308453000000,527852000000
2,2010,Asuransi Jiwa Syariah,555,58,117,-6.2,106.81,1125,62,,9,53023000000,1283000000,115670000000,249050000000
3,2010,Bakrie & Brothers,930,66,67,-6.2,106.81,500,50,156,5,2383414000000,74293000000,1323017000000,15242769000000
4,2010,Bakrieland,2350,50,160,-6.2,106.81,2350,50,16,-27,784410000000,-201910000000,8147635000000,11681203000000
5,2010,Bank Bukopin,322,112,154,-6.2,106.81,765,119,240,-1,4323455000000,-2282245000000,13205904000000,89215674000000
6,2010,Bank Panin Syariah,112,63,61,-6.2,106.81,335,57,0.41,-3,785951000000,-818112000000,2301944000000,14426004000000
7,2010,Bumi Resources  ,2900,124,200,-6.2,106.81,3525,50,992,2,15120000000000,2520000000000,-7200000000000,63345000000000
8,2010,Bumi Resources Minerals,594,156,150,-6.2,106.81,682,43,8,22,150000000000,103500000000,-1590000000000,14700000000000
9,2010,Campina Ice Cream,955,332,156,-7.2504,112.7688,1185,168,,15,1019133000000,100066000000,1022814000000,1147260000000
10,2010,Chemstar Indonesia,154,148,93,-6.5386,107.4499,154,154,17,12,89623000000,12900000000,42100000000,90598000000
11,2010,Delta Dunia Makmur,1586,288,450,-6.2,106.81,1536,53,382,4,13650000000000,4200000000,3975000000000,24539400000000
12,2010,Dharma Satya Nusantara,374,685,715,-6.2,106.81,956,318,70,5,7124495000000,727153000000,6900337000000,13712160000000
13,2010,Energi Mega Persada,1469,246,300,-6.2,106.81,1900,50,33,6,6091500000000,603900000000,7830900000000,15953700000000
14,2010,Garuda Indonesia,750,89,1500,-6.2,106.81,750,89,,0.48,20040000000000,-36645600000000,-28795350000000,161835000000000
15,2010,Industri Perdagangan Bintraco Dharma,149,84,23,-6.9666,110.4166,273,50,822,19,5295162000000,-428631000000,4325269000000,242487000000
16,2010,Jaya Konstruksi Manggala Pratama,143,121,167,-6.2,106.81,1070,83,16,13,3480062000000,-38061000000,2612907000000,4145213000000
17,2010,Lippo Karawaci,414,80,236,-6.17830,106.63188,1333,79,124,-1,16138531000000,-1602894000000,22486009000000,52080936000000
18,2010,Makmur Berkah Amanda,148,635,161,-6.2,106.81,835,148,14,69,100601000000,33524000000,616194000000,861888000000
19,2010,Mizuho Leasing Indonesia,81,105,120,-6.2,106.81,230,50,240,18,235337000000,-7765000000,625244000000,2323154000000
20,2010,Pakuwon Jati,120,458,356,-7.2504,112.7688,770,120,35,11,5713272000000,1382548000000,19178438000000,28866081000000
21,2010,PT PP Presisi,410,105,228,-6.2,106.81,412,111,110,11,2807235000000,76929000000,2245180000000,7029648000000
22,2010,Ratu Prabu Energi,422,50,-22,-6.2,106.81,560,50,-6,-2,6010000000,134674000000,-105014000000,643764000000
23,2010,Saranacentral Bajatama,285,149,84,-6.2,106.81,1665,55,254,-3,1374486000000,88527000000,214084000000,726173000000
24,2010,Soechi Lines,640,187,750,-6.2,106.81,735,71,67,16,1931400000000,81300000000,5511750000000,9438150000000
25,2010,Bukit Sentul / Sentul City,92,50,161,-6.52113,106.85028,325,50,39,-21,910709000000,261472000000,9002372000000,16654989000000
26,2010,Sky Energy,375,52,79,-6.52113,106.85028,1000,52,112,-1,148294000000,-72771000000,232183000000,495492000000
